Month,Site,Quadrat,Image.Name,Coral.ID,Longest.cm,Bleaching
March,1,31,_MCR0347,L1Q31C04,NA,2
March,1,31,_MCR0347,L1Q31C05,NA,0
March,1,31,_MCR0347,L1Q31C06,NA,3
March,1,31,_MCR0347,L1Q31C07,NA,2
March,1,31,_MCR0347,L1Q31C08,NA,0
March,1,31,_MCR0347,L1Q31C09,NA,0
March,1,31,_MCR0347,L1Q31C10,NA,0
March,1,31,_MCR0347,L1Q31C11,NA,0
March,1,31,_MCR0347,L1Q31C14,NA,0
March,1,31,_MCR0347,L1Q31C15,NA,0
March,1,32,_MCR0348,L1Q32C01,NA,2
March,1,32,_MCR0348,L1Q32C02,NA,2
March,1,32,_MCR0348,L1Q32C04,NA,0
March,1,32,_MCR0348,L1Q32C05,NA,1
March,1,32,_MCR0348,L1Q32C06,NA,0
March,1,32,_MCR0348,L1Q32C07,NA,0
March,1,32,_MCR0348,L1Q32C08,NA,2
March,1,32,_MCR0348,L1Q32C09,NA,0
March,1,32,_MCR0348,L1Q32C10,NA,3
March,1,32,_MCR0348,L1Q32C11,NA,0
March,1,32,_MCR0348,L1Q32C13,NA,0
March,1,32,_MCR0348,L1Q32C14,NA,0
March,1,32,_MCR0348,L1Q32C16,NA,3
March,1,32,_MCR0348,L1Q32C17,NA,0
March,1,32,_MCR0348,L1Q32C18,NA,0
March,1,32,_MCR0348,L1Q32C19,NA,0
March,1,32,_MCR0348,L1Q32C20,NA,3
March,1,32,_MCR0348,L1Q32C21,NA,1
March,1,32,_MCR0348,L1Q32C22,NA,0
March,1,32,_MCR0348,L1Q32C24,NA,1
March,1,32,_MCR0348,L1Q32C26,NA,0
March,1,33,_MCR0349,L1Q33C01,NA,2
March,1,33,_MCR0349,L1Q33C02,NA,1
March,1,33,_MCR0349,L1Q33C03,NA,1
March,1,33,_MCR0349,L1Q33C04,NA,1
March,1,33,_MCR0349,L1Q33C05,NA,0
March,1,33,_MCR0349,L1Q33C08,NA,0
March,1,33,_MCR0349,L1Q33C09,NA,1
March,1,33,_MCR0349,L1Q33C10,NA,1
March,1,33,_MCR0349,L1Q33C11,NA,0
March,1,33,_MCR0349,L1Q33C12,NA,1
March,1,33,_MCR0349,L1Q33C13,NA,0
March,1,33,_MCR0349,L1Q33C14,NA,0
March,1,33,_MCR0349,L1Q33C16,NA,1
March,1,33,_MCR0349,L1Q33C17,NA,1
March,1,34,_MCR0350,L1Q34C01,NA,1
March,1,34,_MCR0350,L1Q34C02,NA,1
March,1,34,_MCR0350,L1Q34C03,NA,0
March,1,34,_MCR0350,L1Q34C04,NA,0
March,1,34,_MCR0350,L1Q34C05,NA,0
March,1,34,_MCR0350,L1Q34C06,NA,2
March,1,34,_MCR0350,L1Q34C07,NA,2
March,1,34,_MCR0350,L1Q34C08,NA,0
March,1,34,_MCR0350,L1Q34C09,NA,0
March,1,34,_MCR0350,L1Q34C10,NA,0
March,1,34,_MCR0350,L1Q34C11,NA,0
March,1,34,_MCR0350,L1Q34C12,NA,2
